container_id,container_type,material,weight_kg,age_months,usage_count,damage_level,structural_condition,cleanliness_score,contamination,repair_required,repair_cost,refurbishment_cost,resale_value,recycling_value,disposal_cost,carbon_repair,carbon_refurbish,carbon_resell,carbon_recycle,carbon_dispose,recyclable,safety_risk,location,sensor_available,network_available,inspection_completeness,final_disposition
CON-100035,Tote,Plastic,6.3,18,32,Medium,Moderate Damage,86.57,None,True,9.26,11.22,29.25,1.16,6.58,1.26,2.38,0.13,6.56,19.67,True,Medium,Hub B,True,True,1.0,Resell
CON-100036,Box,Plastic,5.78,35,66,None,Safe,80.59,None,False,0.0,11.76,7.65,1.25,6.44,3.69,2.24,0.12,6.01,18.03,True,Low,Terminal E,True,False,1.0,Refurbish
CON-100037,Crate,Plastic,6.85,54,94,Medium,Minor Damage,66.55,None,True,15.91,26.42,20.77,1.34,6.71,1.32,2.51,0.14,7.12,21.37,True,Medium,Facility D,True,True,1.0,Resell
CON-100038,Tote,Plastic,6.98,38,83,High,Moderate Damage,80.88,None,True,20.64,17.17,17.9,1.31,6.74,2.34,2.54,0.14,7.26,21.77,True,Medium,Depot C,False,True,1.0,Resell
CON-100039,Drum,Plastic,6.6,54,95,Low,Safe,66.89,None,False,4.93,32.47,34.01,1.44,6.65,3.79,2.45,0.13,6.87,20.61,True,Low,Hub B,True,True,1.0,Resell
CON-100040,Pallet,Wood,20.97,16,14,Medium,Minor Damage,80.28,None,True,10.8,11.86,38.31,0.0,10.24,3.02,6.04,0.42,3.36,10.07,False,Medium,Depot C,True,False,1.0,Resell
CON-100041,Box,Cardboard,1.78,7,15,None,Safe,79.73,None,False,0.0,6.79,14.6,0.14,5.44,3.21,1.24,0.04,0.71,2.13,True,Low,Hub B,True,False,1.0,Resell
CON-100042,Box,Plastic,6.84,39,113,Medium,Minor Damage,66.98,None,True,2.84,18.5,5.68,1.37,6.71,1.32,2.51,0.14,7.11,21.34,True,Medium,Depot C,True,True,1.0,Resell
CON-100043,Crate,Metal,34.7,30,78,Medium,Moderate Damage,79.12,None,True,16.96,22.93,43.71,17.75,13.67,4.66,9.47,0.69,76.34,229.01,True,Medium,Terminal E,False,True,1.0,Resell
CON-100044,Crate,Plastic,6.84,54,178,Critical,Unsafe,37.95,None,True,67.04,39.11,0.0,1.4,6.71,3.82,2.51,0.14,7.12,21.35,True,High,Facility D,True,True,1.0,Recycle
CON-100045,Crate,Wood,19.9,23,66,None,Safe,78.41,None,False,0.0,21.84,52.02,0.0,9.98,5.39,5.78,0.4,3.18,9.55,False,Low,Depot C,True,False,1.0,Resell
CON-100046,Drum,Plastic,6.13,16,41,Medium,Moderate Damage,78.35,None,True,22.02,25.35,82.18,1.2,6.53,1.24,2.33,0.12,6.38,19.13,True,Medium,Hub B,True,False,1.0,Resell
CON-100047,Crate,Plastic,7.19,36,53,High,Unsafe,81.27,None,True,30.54,20.11,0.0,1.35,6.8,2.36,2.6,0.14,7.48,22.44,True,High,Warehouse A,True,True,1.0,Recycle
CON-100048,Drum,Plastic,6.54,49,101,Medium,Moderate Damage,50.38,None,True,22.04,35.54,39.42,1.27,6.63,1.28,2.43,0.13,6.8,20.4,True,Medium,Depot C,True,False,1.0,Resell
CON-100049,Box,Plastic,6.47,9,21,None,Safe,92.72,None,False,0.0,5.44,11.75,1.24,6.62,3.78,2.42,0.13,6.73,20.2,True,Low,Facility D,False,True,1.0,Resell
CON-100050,Drum,Metal,33.87,26,51,None,Safe,85.25,None,False,0.0,25.31,81.32,18.45,13.47,7.06,9.27,0.68,74.5,223.51,True,Low,Warehouse A,True,True,1.0,Resell
CON-100051,Tote,Plastic,6.66,25,46,None,Safe,81.88,None,False,0.0,13.32,26.79,1.31,6.67,3.8,2.47,0.13,6.93,20.78,True,Low,Terminal E,True,False,1.0,Resell
CON-100052,Pallet,Wood,18.12,6,5,High,Moderate Damage,82.44,None,True,21.68,10.63,43.31,0.0,9.53,3.67,5.33,0.36,2.9,8.7,False,Medium,Terminal E,False,True,1.0,Resell
CON-100053,Crate,Metal,34.32,5,12,Low,Minor Damage,73.97,None,False,4.26,17.11,75.93,18.65,13.58,7.12,9.38,0.69,75.49,226.48,True,Low,Facility D,True,False,1.0,Resell
CON-100054,Crate,Wood,16.57,11,31,None,Safe,80.63,None,False,0.0,18.01,65.83,0.0,9.14,4.99,4.94,0.33,2.65,7.95,False,Low,Depot C,False,True,1.0,Resell
CON-100055,Box,Cardboard,1.73,48,70,Low,Minor Damage,85.22,None,False,0.8,11.47,5.39,0.15,5.43,3.21,1.23,0.03,0.69,2.08,True,Low,Terminal E,True,True,1.0,Resell
CON-100056,Pallet,Plastic,6.05,29,94,High,Moderate Damage,51.29,None,True,25.33,24.21,25.77,1.32,6.51,2.23,2.31,0.12,6.29,18.86,True,Medium,Facility D,True,True,1.0,Resell
CON-100057,Pallet,Plastic,5.79,32,43,Low,Minor Damage,66.99,Organic,False,2.45,16.75,30.0,1.11,6.45,3.69,2.25,0.12,6.02,18.06,True,Low,Depot C,True,True,1.0,Resell
CON-100058,Box,Plastic,5.79,13,26,Medium,Moderate Damage,76.04,None,True,2.64,8.44,12.91,1.17,6.45,1.2,2.25,0.12,6.02,18.07,True,Medium,Depot C,False,True,1.0,Resell
CON-100059,Tote,Plastic,6.5,20,43,Medium,Moderate Damage,88.6,None,True,9.32,12.01,31.37,1.29,6.63,1.28,2.43,0.13,6.76,20.29,True,Medium,Warehouse A,True,True,1.0,Resell
CON-100060,Crate,Plastic,6.8,31,38,,Minor Damage,80.89,Organic,True,16.05,18.67,53.26,1.46,6.7,1.32,2.5,0.14,7.08,21.23,True,Medium,Warehouse A,True,True,1.0,Resell
CON-100061,Crate,Wood,18.26,20,60,Low,Minor Damage,62.04,None,False,3.97,23.69,53.82,0.0,9.57,5.19,5.37,0.37,2.92,8.77,False,Low,Depot C,False,True,1.0,Resell
CON-100062,Pallet,Plastic,5.36,50,86,Low,Minor Damage,60.46,None,False,2.81,22.03,17.07,1.05,6.34,3.64,2.14,0.11,5.57,16.72,True,Low,Hub B,False,True,1.0,Resell
CON-100063,Crate,Wood,22.99,29,23,Medium,Moderate Damage,94.94,Organic,True,18.37,15.06,49.34,0.0,10.75,3.26,6.55,0.46,3.68,11.04,False,Medium,Hub B,True,True,1.0,Resell
CON-100064,Tote,Plastic,6.36,55,81,None,Safe,55.18,None,False,0.0,20.82,11.81,1.37,6.59,3.76,2.39,0.13,6.61,19.84,True,Low,Facility D,True,False,1.0,Resell
CON-100065,Crate,Wood,21.97,28,96,Medium,Minor Damage,67.49,None,True,18.58,26.48,43.88,0.0,10.49,3.14,6.29,0.44,3.52,10.55,False,Medium,Warehouse A,True,True,1.0,Resell
CON-100066,Pallet,Wood,20.25,37,94,None,Safe,76.1,None,False,0.0,20.48,20.24,0.0,10.06,5.43,5.86,0.4,3.24,9.72,False,Low,Facility D,True,True,1.0,Resell
CON-100067,Drum,Plastic,5.9,43,22,High,Unsafe,68.56,None,True,46.61,24.92,0.0,1.17,6.48,2.21,2.28,0.12,6.14,18.42,True,High,Depot C,True,True,1.0,Recycle
CON-100068,Drum,Plastic,5.28,25,76,Medium,Minor Damage,77.68,None,True,24.72,28.95,72.79,1.16,6.32,1.13,2.12,0.11,5.49,16.47,True,Medium,Depot C,True,True,1.0,Resell
CON-100069,Box,Plastic,6.8,58,78,Low,Safe,66.19,Chemical,False,0.79,15.12,3.84,1.39,16.75,3.82,2.5,0.14,7.07,21.21,True,Medium,Hub B,True,True,1.0,Resell
CON-100070,Tote,Plastic,6.56,6,19,High,Unsafe,73.78,None,True,15.35,11.83,0.0,1.32,6.64,2.29,2.44,0.13,6.82,20.46,True,High,Depot C,True,True,1.0,Recycle
CON-100071,Drum,Plastic,6.59,22,64,Medium,Moderate Damage,58.31,None,True,28.48,30.65,72.62,1.41,6.65,1.29,2.45,0.13,6.86,20.57,True,Medium,Facility D,True,True,1.0,Dispose
CON-100072,Box,Plastic,5.68,48,120,Medium,Moderate Damage,51.33,None,True,2.53,21.55,4.57,1.08,6.42,1.18,2.22,0.11,5.91,17.74,True,Medium,Warehouse A,True,False,1.0,Resell
CON-100073,Drum,Plastic,6.36,8,7,Low,,89.47,None,False,5.03,20.28,108.56,1.37,6.59,3.76,2.39,0.13,6.61,19.84,True,Low,Hub B,False,True,1.0,Resell
CON-100074,Tote,Plastic,6.21,47,45,None,Safe,71.35,None,False,0.0,14.8,18.77,1.27,6.55,3.75,2.35,0.12,6.46,19.37,True,Low,Depot C,True,True,1.0,Resell
CON-100075,Pallet,Plastic,5.04,44,70,High,Unsafe,84.18,None,True,26.71,16.87,0.0,1.1,6.26,2.1,2.06,0.1,5.24,15.72,True,High,Facility D,True,True,1.0,Recycle
CON-100076,Tote,Plastic,4.92,22,27,None,Safe,70.99,None,False,0.0,13.05,27.33,1.05,6.23,3.59,2.03,0.1,5.12,15.35,True,Low,Terminal E,True,False,1.0,Resell
CON-100077,Crate,Wood,22.31,39,19,Critical,Unsafe,66.57,None,True,76.12,18.91,0.0,0.0,10.58,5.68,6.38,0.45,3.57,10.71,False,High,Warehouse A,True,True,0.82,Dispose
CON-100078,Pallet,Plastic,4.84,17,11,Low,Minor Damage,82.02,None,False,2.48,11.3,42.38,1.02,6.21,3.58,2.01,0.1,5.03,15.09,True,Low,Terminal E,True,True,1.0,Resell
CON-100079,Box,Plastic,5.9,2,1,None,Safe,74.38,None,False,0.0,6.19,14.45,1.09,6.47,3.71,2.27,0.12,6.14,18.41,True,Low,Facility D,True,True,1.0,Resell
CON-100080,Pallet,Plastic,6.3,38,81,Low,Minor Damage,72.37,None,False,2.29,19.74,23.35,1.26,6.57,3.76,2.37,0.13,6.55,19.65,True,Low,Facility D,True,True,1.0,Resell
CON-100081,Tote,Plastic,5.83,57,67,Medium,Moderate Damage,61.78,None,True,8.73,18.43,11.6,1.12,6.46,1.2,2.26,0.12,6.07,18.2,True,Medium,Depot C,True,True,1.0,Resell
CON-100082,Drum,Metal,25.09,6,4,None,Safe,76.86,None,False,0.0,21.87,108.99,11.62,11.27,6.01,7.07,0.5,55.21,165.63,True,Low,Warehouse A,True,True,1.0,Resell
CON-100083,Drum,Metal,35.62,39,56,Low,Safe,71.46,None,False,6.38,27.88,56.33,16.83,13.91,7.27,9.71,0.71,78.37,235.1,True,Low,Warehouse A,True,False,1.0,Resell
CON-100084,Tote,Plastic,6.74,55,120,None,Safe,57.73,None,False,0.0,24.34,8.67,1.4,6.68,3.81,2.48,0.13,7.01,21.02,True,Low,Warehouse A,True,True,1.0,Resell
CON-100085,Crate,Plastic,4.81,56,52,Medium,Moderate Damage,87.51,None,True,19.02,19.07,28.18,0.88,6.2,1.08,2.0,0.1,5.01,15.02,True,Medium,Terminal E,True,True,1.0,Resell
CON-100086,Crate,Plastic,6.53,50,166,Medium,Minor Damage,40.3,None,True,17.63,37.56,12.51,1.19,6.63,1.28,2.43,0.13,6.79,20.38,True,Medium,Warehouse A,True,True,1.0,Resell
CON-100087,Drum,Plastic,5.46,49,99,Medium,Moderate Damage,67.3,None,True,25.71,32.8,35.82,1.09,6.36,1.15,2.16,0.11,5.67,17.02,True,Medium,Depot C,True,True,1.0,Resell
CON-100088,Box,Cardboard,1.38,14,39,Low,Minor Damage,83.52,None,False,0.75,8.62,10.84,0.11,5.35,3.17,1.15,0.03,0.55,1.66,True,Low,Hub B,False,False,1.0,Resell
CON-100089,Crate,Wood,19.18,48,30,High,Moderate Damage,80.21,None,True,33.31,17.97,33.69,0.0,9.79,3.8,5.59,0.38,3.07,9.2,False,Medium,Facility D,False,True,1.0,Resell
CON-100090,Crate,Wood,22.41,40,75,Low,Minor Damage,82.36,None,False,3.59,22.15,38.48,0.0,10.6,5.69,6.4,0.45,3.59,10.76,False,Low,Terminal E,False,False,1.0,Resell
CON-100091,Crate,Wood,18.66,11,8,High,Moderate Damage,82.48,Organic,True,39.98,15.43,65.64,0.0,9.67,3.74,5.47,0.37,2.99,8.96,False,Medium,Depot C,True,True,1.0,Resell
CON-100092,Pallet,Wood,22.08,42,30,None,Safe,80.08,None,False,0.0,13.49,26.33,0.0,10.52,5.65,6.32,0.44,3.53,10.6,False,Low,Terminal E,False,False,1.0,Resell
CON-100093,Crate,Metal,27.79,29,20,Medium,Moderate Damage,77.06,None,True,16.59,17.44,56.78,13.49,11.95,3.84,7.75,0.56,61.15,183.44,True,Medium,Warehouse A,True,True,1.0,Resell
CON-100094,Crate,Wood,21.16,55,42,Low,Minor Damage,77.72,None,False,4.47,19.54,29.6,0.0,10.29,5.54,6.09,0.42,3.39,10.16,False,Low,Warehouse A,False,False,1.0,Resell
CON-100095,Drum,Metal,35.49,29,23,None,Safe,65.93,Organic,False,0.0,25.41,73.06,18.26,13.87,7.26,9.67,0.71,78.08,234.25,True,Low,Warehouse A,True,True,1.0,Resell
CON-100096,Tote,Plastic,5.67,59,79,High,Unsafe,60.97,None,True,14.78,19.76,0.0,1.16,6.42,2.18,2.22,0.11,5.9,17.7,True,High,Depot C,True,True,1.0,Recycle
CON-100097,Drum,Plastic,5.4,55,135,Medium,Minor Damage,63.0,None,True,20.56,37.05,21.96,1.05,6.35,1.15,2.15,0.11,5.62,16.86,True,Medium,Facility D,True,False,1.0,Resell
CON-100098,Tote,Plastic,6.34,22,64,Medium,Minor Damage,67.82,Organic,True,7.56,17.23,25.68,1.23,6.59,1.26,2.39,0.13,6.6,19.79,True,Medium,Hub B,True,True,1.0,Resell
CON-100099,Pallet,Wood,17.24,19,57,High,Moderate Damage,73.37,None,True,24.65,17.19,35.08,0.0,9.31,3.57,5.11,0.34,2.76,8.27,False,Medium,Terminal E,True,True,1.0,Resell
CON-100100,Tote,Plastic,5.17,12,35,Low,Safe,71.36,None,False,1.89,13.8,29.44,1.08,6.29,3.62,2.09,0.1,5.38,16.13,True,Low,Facility D,True,True,1.0,Resell
CON-100101,Drum,Metal,28.41,37,127,Low,Minor Damage,51.52,Organic,False,6.01,37.97,47.63,13.98,12.1,6.41,7.9,0.57,62.51,187.53,True,Low,Hub B,True,False,1.0,Resell
CON-100102,Drum,Plastic,6.13,7,18,Low,Safe,87.85,None,False,5.45,21.62,112.93,1.33,6.53,3.74,2.33,0.12,6.38,19.13,True,Low,Hub B,False,True,1.0,Resell
CON-100103,Drum,Plastic,7.03,27,17,None,Safe,89.53,None,False,0.0,21.27,91.78,1.37,6.76,3.84,2.56,0.14,7.31,21.94,True,Low,Warehouse A,True,True,1.0,Resell
CON-100104,Pallet,Wood,16.31,59,176,None,Safe,42.03,None,False,0.0,33.79,4.97,0.0,9.08,4.96,4.88,0.33,2.61,7.83,False,Low,Terminal E,True,True,0.59,Manual_Review
CON-100105,Pallet,Plastic,5.07,19,23,Low,Safe,93.97,None,False,2.79,10.7,37.59,1.0,6.27,3.61,2.07,0.1,5.27,15.81,True,Low,Warehouse A,False,False,1.0,Resell
CON-100106,Tote,Plastic,6.52,19,33,Low,Minor Damage,86.18,None,False,2.13,11.37,29.26,1.2,6.63,3.78,2.43,0.13,6.79,20.36,True,Low,Depot C,True,False,1.0,Resell
CON-100107,Tote,Plastic,5.74,31,19,Medium,Moderate Damage,66.77,None,True,6.45,12.88,24.8,1.21,6.43,1.19,2.23,0.11,5.97,17.9,True,Medium,Depot C,True,True,1.0,Resell
CON-100108,Crate,Wood,16.35,35,53,Low,Safe,64.49,None,False,4.77,22.63,45.13,0.0,9.09,4.96,4.89,0.33,2.62,7.85,False,Low,Facility D,True,True,1.0,Resell
CON-100109,Drum,Metal,27.52,3,8,Low,Safe,88.93,None,False,5.76,20.46,110.13,14.63,11.88,6.3,7.68,0.55,60.55,181.64,True,Low,Facility D,True,True,1.0,Resell
CON-100110,Crate,Wood,22.93,22,29,Low,Minor Damage,81.09,None,False,3.9,17.74,56.61,0.0,10.73,5.75,6.53,0.46,3.67,11.0,False,Low,Facility D,True,True,1.0,Resell
CON-100111,Tote,Plastic,6.72,47,83,None,Safe,65.33,None,False,0.0,19.5,15.5,1.36,6.68,3.81,2.48,0.13,6.99,20.97,True,Low,Depot C,True,True,1.0,Resell
CON-100112,Drum,Plastic,5.2,29,45,None,Safe,69.2,None,False,0.0,27.12,80.52,1.06,6.3,3.62,2.1,0.1,5.41,16.22,True,Low,Facility D,True,True,1.0,Resell
CON-100113,Crate,Metal,33.61,44,43,High,Moderate Damage,87.12,None,True,40.05,18.23,38.74,15.24,13.4,5.53,9.2,0.67,73.95,221.85,True,Medium,Warehouse A,True,True,1.0,Resell
CON-100114,Box,Cardboard,1.61,24,38,Medium,Minor Damage,75.18,None,True,2.88,9.77,10.32,0.13,5.4,0.69,1.2,0.03,0.64,1.93,True,Medium,Hub B,True,True,1.0,Resell
CON-100115,Drum,Metal,27.14,17,44,Medium,Minor Damage,61.31,None,True,28.0,28.2,85.22,13.55,11.79,3.76,7.59,0.54,59.71,179.13,True,Medium,Warehouse A,True,True,1.0,Resell
CON-100116,Drum,Metal,33.73,55,190,High,Unsafe,40.71,None,True,49.47,45.89,0.0,16.19,13.43,5.55,9.23,0.67,74.2,222.59,True,High,Hub B,True,True,1.0,Recycle
CON-100117,Box,Cardboard,1.68,16,45,None,Safe,80.17,None,False,0.0,9.72,11.41,0.13,5.42,3.2,1.22,0.03,0.67,2.01,True,Low,Terminal E,True,False,1.0,Resell
CON-100118,Drum,Plastic,6.06,50,86,Low,Safe,79.04,None,False,4.98,29.74,37.92,1.2,6.52,3.73,2.32,0.12,6.3,18.91,True,Low,Terminal E,True,True,1.0,Resell
CON-100119,Tote,Plastic,6.64,9,16,Low,Safe,71.86,None,False,1.84,11.82,35.25,1.24,6.66,3.8,2.46,0.13,6.91,20.73,True,Low,Hub B,True,False,1.0,Resell
CON-100120,Crate,Wood,21.08,36,47,High,Unsafe,72.17,Chemical,True,38.03,20.87,0.0,0.0,25.68,4.03,6.07,0.42,3.37,10.12,False,High,Terminal E,True,True,1.0,Dispose
CON-100121,Tote,Plastic,6.82,37,23,High,Moderate Damage,92.96,None,True,19.95,9.36,25.46,1.3,6.71,2.32,2.51,0.14,7.09,21.28,True,Medium,Hub B,False,False,1.0,Resell
CON-100122,Tote,Plastic,6.34,20,38,None,Safe,83.48,Organic,False,0.0,12.28,26.49,1.16,6.59,3.76,2.39,0.13,6.59,19.78,True,Low,Facility D,False,True,1.0,Resell
CON-100123,Pallet,Plastic,6.87,21,56,Medium,Moderate Damage,59.54,Chemical,True,9.48,19.17,31.4,1.39,16.79,1.32,2.52,0.14,7.14,21.43,True,Medium,Depot C,True,True,1.0,Resell
CON-100124,Pallet,Wood,16.4,25,77,Critical,Unsafe,77.15,Organic,True,36.71,18.63,0.0,0.0,9.1,4.97,4.9,0.33,2.62,7.87,False,High,Depot C,True,True,1.0,Dispose
CON-100125,Drum,Plastic,6.0,20,39,None,Safe,63.84,None,False,0.0,27.32,86.73,1.31,6.5,3.72,2.3,0.12,6.24,18.71,True,Low,Hub B,True,True,1.0,Resell
CON-100126,Drum,Plastic,6.09,55,45,Medium,Minor Damage,64.53,None,True,26.53,27.82,45.17,1.18,6.52,1.23,2.32,0.12,6.33,18.99,True,Medium,Facility D,True,False,1.0,Resell
CON-100127,Crate,Wood,19.09,29,81,Low,Minor Damage,59.04,None,False,4.18,26.24,44.92,0.0,9.77,5.29,5.57,0.38,3.05,9.16,False,Low,Hub B,True,True,1.0,Resell
CON-100128,Tote,Plastic,6.61,13,29,High,Unsafe,79.2,None,True,15.39,12.02,0.0,1.28,6.65,2.29,2.45,0.13,6.88,20.63,True,High,Facility D,False,True,1.0,Recycle
CON-100129,Tote,Plastic,5.59,40,58,Medium,Moderate Damage,58.68,None,True,7.36,18.0,20.29,1.08,6.4,1.17,2.2,0.11,5.81,17.43,True,Medium,Terminal E,False,False,1.0,Resell
CON-100130,Crate,Plastic,6.42,27,60,Medium,Minor Damage,70.09,Hazardous,True,17.0,22.49,0.0,0.0,39.63,1.27,2.4,0.13,6.67,20.02,False,High,Terminal E,True,True,1.0,Dispose
CON-100131,Pallet,Plastic,5.15,44,53,None,Safe,83.68,None,False,0.0,15.25,22.43,1.01,6.29,3.62,2.09,0.1,5.36,16.08,True,Low,Facility D,True,True,1.0,Resell
CON-100132,Drum,Metal,32.47,34,38,Medium,Moderate Damage,62.46,None,True,22.82,27.43,69.78,17.72,13.12,4.4,8.92,0.65,71.43,214.3,True,Medium,Facility D,True,False,1.0,Resell
